CMDLINE ./rush-hour
MEM 0.648438 1553252129.8945
MEM 3.097656 1553252129.9348
MEM 3.097656 1553252129.9751
MEM 3.097656 1553252130.0152
MEM 3.097656 1553252130.0555
MEM 3.097656 1553252130.0957
MEM 3.355469 1553252130.1359
MEM 3.355469 1553252130.1760
MEM 3.355469 1553252130.2162
