CMDLINE ./rush-hour
MEM 0.707031 1553250039.7222
MEM 3.089844 1553250039.7626
MEM 3.089844 1553250039.8027
MEM 3.347656 1553250039.8430
MEM 3.347656 1553250039.8832
MEM 3.347656 1553250039.9234
MEM 3.605469 1553250039.9637
MEM 3.605469 1553250040.0040
MEM 3.605469 1553250040.0442
