CMDLINE ./rush-hour
MEM 0.703125 1554458706.0022
MEM 1.531250 1554458706.0034
MEM 1.531250 1554458706.0045
MEM 1.531250 1554458706.0057
MEM 1.531250 1554458706.0069
MEM 1.531250 1554458706.0081
MEM 1.531250 1554458706.0094
MEM 1.531250 1554458706.0106
MEM 1.531250 1554458706.0118
MEM 1.531250 1554458706.0130
MEM 1.531250 1554458706.0142
MEM 3.062500 1554458706.0154
MEM 3.062500 1554458706.0166
MEM 3.062500 1554458706.0178
MEM 3.062500 1554458706.0190
MEM 3.062500 1554458706.0201
MEM 3.062500 1554458706.0213
MEM 3.062500 1554458706.0225
MEM 3.062500 1554458706.0237
MEM 3.062500 1554458706.0249
MEM 3.062500 1554458706.0260
MEM 3.062500 1554458706.0272
MEM 3.062500 1554458706.0284
MEM 3.062500 1554458706.0297
MEM 3.062500 1554458706.0310
MEM 3.062500 1554458706.0322
MEM 3.062500 1554458706.0334
MEM 3.062500 1554458706.0346
MEM 3.062500 1554458706.0358
MEM 3.062500 1554458706.0370
MEM 3.062500 1554458706.0381
MEM 3.062500 1554458706.0393
MEM 3.062500 1554458706.0405
MEM 3.062500 1554458706.0417
MEM 3.062500 1554458706.0430
MEM 3.062500 1554458706.0442
MEM 3.062500 1554458706.0453
MEM 3.062500 1554458706.0465
MEM 3.062500 1554458706.0477
MEM 3.062500 1554458706.0489
MEM 3.062500 1554458706.0501
MEM 3.062500 1554458706.0513
MEM 3.062500 1554458706.0525
MEM 3.062500 1554458706.0537
MEM 3.062500 1554458706.0550
MEM 3.062500 1554458706.0561
MEM 3.062500 1554458706.0573
MEM 3.062500 1554458706.0585
MEM 3.062500 1554458706.0598
MEM 3.062500 1554458706.0610
MEM 3.062500 1554458706.0621
MEM 3.062500 1554458706.0634
MEM 3.062500 1554458706.0646
MEM 3.062500 1554458706.0658
