CMDLINE ./rush-hour
MEM 0.742188 1554455788.2544
MEM 1.570312 1554455788.2547
MEM 1.570312 1554455788.2549
MEM 1.570312 1554455788.2553
MEM 1.570312 1554455788.2555
MEM 1.570312 1554455788.2557
MEM 3.214844 1554455788.2559
MEM 3.214844 1554455788.2562
MEM 3.214844 1554455788.2564
MEM 3.214844 1554455788.2566
MEM 3.214844 1554455788.2568
MEM 3.214844 1554455788.2570
MEM 3.214844 1554455788.2573
MEM 3.214844 1554455788.2575
MEM 3.214844 1554455788.2577
MEM 3.214844 1554455788.2579
MEM 3.214844 1554455788.2581
MEM 3.214844 1554455788.2583
MEM 3.214844 1554455788.2586
MEM 3.214844 1554455788.2588
MEM 3.214844 1554455788.2590
MEM 3.214844 1554455788.2593
MEM 3.214844 1554455788.2595
MEM 3.214844 1554455788.2597
MEM 3.214844 1554455788.2599
MEM 3.214844 1554455788.2601
MEM 3.214844 1554455788.2604
MEM 3.214844 1554455788.2606
MEM 0.000000 1554455788.2609
