CMDLINE ./rush-hour
MEM 0.695312 1554457633.5746
MEM 1.707031 1554457633.5760
MEM 1.707031 1554457633.5772
MEM 3.101562 1554457633.5783
MEM 3.101562 1554457633.5795
MEM 3.101562 1554457633.5807
MEM 3.101562 1554457633.5819
MEM 3.101562 1554457633.5831
MEM 3.101562 1554457633.5845
MEM 3.101562 1554457633.5857
MEM 3.101562 1554457633.5869
MEM 3.101562 1554457633.5881
MEM 3.101562 1554457633.5893
MEM 3.101562 1554457633.5904
MEM 3.101562 1554457633.5916
MEM 3.101562 1554457633.5928
MEM 3.101562 1554457633.5940
MEM 3.101562 1554457633.5952
MEM 3.101562 1554457633.5964
MEM 3.101562 1554457633.5976
MEM 3.101562 1554457633.5988
MEM 3.101562 1554457633.6000
MEM 3.101562 1554457633.6011
MEM 3.101562 1554457633.6022
MEM 3.101562 1554457633.6035
MEM 3.101562 1554457633.6046
MEM 3.101562 1554457633.6058
MEM 3.101562 1554457633.6070
MEM 3.101562 1554457633.6082
MEM 3.101562 1554457633.6094
MEM 3.101562 1554457633.6106
MEM 3.101562 1554457633.6118
MEM 3.359375 1554457633.6130
MEM 3.359375 1554457633.6142
MEM 3.359375 1554457633.6154
MEM 3.359375 1554457633.6166
MEM 3.359375 1554457633.6179
MEM 3.359375 1554457633.6191
MEM 3.359375 1554457633.6203
MEM 3.359375 1554457633.6215
MEM 3.359375 1554457633.6227
MEM 3.359375 1554457633.6239
MEM 3.359375 1554457633.6251
MEM 3.359375 1554457633.6265
MEM 3.359375 1554457633.6277
MEM 3.359375 1554457633.6288
MEM 3.359375 1554457633.6300
MEM 3.359375 1554457633.6313
